node1,node2,channel_id,channel_tx_id,preimage_hash,timestamp
0331f80652fb840239df8dc99205792bba2e559a05469915804c08420230e23c7c,03e99d95d056bd84e5cc73e546924af49597b2fd8379f2dcaf8e06ac230e47d336,6.11048089727468E+017,4724f76bd4f4a44772c03620c6c461365ca2255b531b0bf8cb3c8837a37095d7:1,nil,1545991864
02cdf83ef8e45908b1092125d25c68dcec7751ca8d39f557775cd842e5bc127469,03bb5f22692d79f7041f117494125f533a15844abfcd44192b61b58827a44adc95,6.08124488187576E+017,979c2172c71fa3316fc92412125bdff1b0e6cfb53a183442b7322190c2b8d125:1,nil,1545990615
02ad6fb8d693dc1e4569bcedefadf5f72a931ae027dc0f0c544b34c1c6f3b9a02b,03bb5f22692d79f7041f117494125f533a15844abfcd44192b61b58827a44adc95,6.05925465008243E+017,04a284859490dcf6882c334c8914ed0cb3cbe120e871f8ead1128ed97fab2a5a:1,nil,1545990612
02b414e4e29a685b8699152be47a0420fa3c8ab59629d2da2d6c0a95c582636350,03bb5f22692d79f7041f117494125f533a15844abfcd44192b61b58827a44adc95,6.05221777524982E+017,d1f7de5ff5770fb114b4fd1a458c5951af232b371b09379a7c44e1ffb9c6ebd0:1,nil,1545990611
03bb5f22692d79f7041f117494125f533a15844abfcd44192b61b58827a44adc95,03dab87ff8635982815c4567eb58af48f9944d11c56beb12b91e1049aaea06e187,6.05150309261836E+017,2db995ab54cc7b5ce55ed0b73c51f4b29b912625af436aa7ff864eea75a47177:0,nil,1545990608
03bb5f22692d79f7041f117494125f533a15844abfcd44192b61b58827a44adc95,03fce165537aea120bffe8505876b44d5119354f825b3eac329b761fc5636bf334,6.05118423454253E+017,72306068ae5cd9ee053eb3779dffb6fe89f6c2fd72f73dedac6f2fa63df6aee1:0,nil,1545990608
03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,038f91252ffd1b1f44711ccb84ce5509039c67fc178800f26518f4329c604fad18,6.05750642638324E+017,7246999e916df5b56584111cb7c8df5e6d15fc9e4b460c10e5fba8707b813984:1,nil,1545990544
032b2b3f4abda9677bb9563e226c068d3a2456fb8b036635a81c9bcaa1671d1ada,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,5.87033656149279E+017,8f5c83775a4d48e73ac778bef7498e3c4ca0890c243e553c985106faa5ec27c2:1,nil,1545990252
0237fefbe8626bf888de0cad8c73630e32746a22a2c4faa91c1d9877a3826e1174,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,6.10844680019509E+017,b60c94e805d10d5b69bce7f251fd8de478ca768158a737ae7bc1b0480915126a:1,nil,1545990178
02309f3556d51e9d855594762dcf68cb283fbfd7e48618b6cecb8cd90e2e34d8ad,03ee180e8ee07f1f9c9987d98b5d5decf6bad7d058bdd8be3ad97c8e0dd2cdc7ba,6.09128342355444E+017,82c570c4ed964278320b4ee02492161aec7e27d33feeb8ed2fd73015b966925e:0,nil,1545989971
